,_BANK,entropy
0,lowes,5.337389567128823
1,flees,4.710353765724266
2,hucks,4.214408310956876
3,styte,4.464901094479579
4,picas,5.173481721036121
5,wryer,3.9145165336060876
6,serow,5.295363682652278
7,boyos,4.186741118052657
8,bepat,4.872027176273505
9,porin,4.9478660236343135
10,quite,4.292374735792463
11,hings,4.700084479837927
12,elect,4.254268548608421
13,queue,2.8894577335888236
14,pwned,4.306117274573885
15,curia,4.951222299851555
16,cauls,5.3205962543380485
17,irade,5.352422800228553
18,haars,4.936452143773215
19,spelt,5.195575409553542
20,jiber,4.29739570446684
21,muids,4.854503433896813
22,paths,5.070623208729029
23,agent,4.856886558777667
24,loins,5.470753265191213
25,reiki,4.25498287565588
26,cutie,4.924686370342878
27,ocean,4.923640895682935
28,pubco,3.9123741105343774
29,comes,5.3799880257517065
30,mohur,4.380387805913662
31,hazel,4.532294638495788
32,ixnay,4.031210946290519
33,lamas,4.866441676872679
34,theca,4.74881440559432
35,warks,4.967742877784738
36,scops,4.29905655822642
37,teuch,4.4839005925032716
38,sopra,5.42760905245283
39,luvvy,2.97611972190341
40,afoot,3.95072113698662
41,womby,3.6981397436697185
42,yocks,4.503641463234629
43,barks,5.125237891342565
44,manat,4.430229451489264
45,dicer,5.011415047419938
46,obeys,4.782253808574215
47,ouphs,4.581808893488723
48,tunds,4.946564885666649
49,threw,4.601944378502408
50,steps,4.6122917561795935
51,goris,5.3657233332914505
52,dross,4.770372607381706
53,ketol,4.854489407459327
54,irony,4.776267371662741
55,foram,4.638723569180448
56,urite,5.2132626747666215
57,degum,4.215983690742806
58,perdu,4.720755544951839
59,blabs,4.364858490365486
60,gibel,4.667415102792809
61,baels,5.593462579468838
62,tinty,4.018522105853521
63,conia,4.999377796557124
64,redux,4.145712503044312
65,tweet,3.5737651370795858
66,banty,4.670831663938462
67,swaps,4.257244517370874
68,dearn,5.384215609976398
69,klutz,3.5836652797781614
70,carby,4.6100540552172795
71,twats,4.3442344579125
72,wicca,3.5864319610793363
73,zaxes,4.49768796635241
74,thymy,3.1802522706689054
75,yolky,3.5968805098579506
76,towns,4.920006325172517
77,shero,5.3093772674050825
78,caups,5.0459475372526885
79,atilt,4.396258745905551
80,spews,4.167091603725197
81,clips,4.889358483303657
82,igloo,3.814003746012987
83,amias,4.7952715910599615
84,plots,5.181951774412244
85,bunny,3.409212050376541
86,creed,4.52702304684007
87,bland,4.614129262874882
88,ungum,3.012118533803509
89,slang,5.059589304433694
90,jarks,4.6703266076626955
91,pommy,3.5101357057881244
92,swabs,4.139055813154407
93,currs,4.420614535929644
94,feres,4.9347247488610435
95,reorg,4.367907404505676
96,midis,4.247523756948711
97,crwth,3.920610028445385
98,snool,4.565795147531186
99,gyoza,3.8357947841380224
100,talak,4.337829902291825
101,aryls,5.326957788109168
102,tondo,4.149987525603465
103,mires,5.7230606898086345
104,derig,4.9223853080208215
105,bubus,3.1231019986524235
106,drawl,4.546031083065001
107,genip,4.6256423564636995
108,shahs,3.864228041364601
109,charr,4.019090680710286
110,paeon,5.182178796143194
111,elude,4.302445428950186
112,khaya,3.6181021205457284
113,droog,3.941706780552345
114,veney,3.9789632050944683
115,swits,4.32187776121864
116,yodel,4.932712118088062
117,kynds,4.3728407216695
118,chino,4.3747080599175945
119,bezel,3.7529797523400354
120,pique,4.003014957332591
121,haafs,4.317114391951007
122,rivas,5.139159409245034
123,nyaff,3.3526200855022266
124,sidas,4.946912098446152
125,bedye,4.000771891390168
126,poupt,3.836016721076896
127,abaci,3.894373823126806
128,lunas,5.390445181469283
129,slaty,5.315151805905862
130,crons,5.247095677066803
131,curch,3.5065259418690182
132,trail,5.302660700614977
133,gnars,5.230366232060135
134,tiars,5.801070827643192
135,bowed,4.41693161801437
136,catch,3.80826739578687
137,lowry,4.395648914856755
138,redon,5.098901453704352
139,deffo,3.6610160912767586
140,riced,5.027949543853606
141,womyn,3.9079552648139066
142,mawks,4.548937364002892
143,moray,5.00212834399378
144,yesks,4.348219963236458
145,shoes,4.969489665196252
146,certs,5.577728657165042
147,welch,4.1448549459608754
148,grama,4.122493459071244
149,crabs,5.107048763196511
150,wawls,4.2772818678888
151,rheas,5.589315571840363
152,sados,4.989249854066816
153,miaou,4.72244641524599
154,bubby,2.3874091663927177
155,goier,5.249472969887661
156,recit,5.119450278160797
157,mausy,4.8317370219184514
158,toles,5.88238102456736
159,tread,5.369146987193794
160,lazar,4.033742709214607
161,ilial,3.649770084572721
162,fezes,4.026804790142267
163,madge,4.796764156331042
164,tofus,4.786891642878016
165,ungod,4.124363588458246
166,illth,3.7816228283964897
167,tepal,5.182089038634868
168,urial,5.045385281308882
169,phang,4.161066900688031
170,limps,4.858485855974846
171,aheap,4.205725114090471
172,opted,4.753892231906116
173,dilli,3.3253160029969084
174,jeffs,3.4369751919713076
175,nasal,4.7503428802046415
176,noons,3.9839176067655844
177,pules,5.382641333494926
178,acros,5.424091293251546
179,odyls,4.74310844616468
180,bigly,4.093965778380987
181,elbow,4.1617678745500255
182,weary,4.9020130555555275
183,kasha,4.162540009503282
184,vodun,3.993963008793711
185,torah,5.147231172052636
186,covey,4.361424659610232
187,zineb,4.190053235757624
188,poaka,4.1530115179478875
189,derny,4.970704876076862
190,neemb,3.9333727127169826
191,deets,4.979720589567054
192,stoke,5.2006276735673715
193,yacks,4.698699362669829
194,naevi,4.677662968710924
195,tapas,4.878497708443112
196,amend,4.818339144358496
197,tynde,4.717722305791474
198,pudge,4.321204631751241
199,teles,5.286839173030598
200,scody,4.643461739339285
